Brand,seriesname,Background Template,colorcode,finish,colorname,Color Code + Color Name,,nominalsize_1,nominalsize_2,nominalsize_3,nominalsize_4,nominalsize_5,nominalsize_6,nominalsize_7,nominalsize_8,nominalsize_9,nominalsize_10
American Olean,Abound,AO_Abound.jpg,AB03,Matte,Nimbus,Nimbus AB03,,12X12 Square,12X24 Rectangle,18X18 Square,,,,,,,
American Olean,Abound,AO_Abound.jpg,AB04,Matte,Ashen,Ashen AB04,,12X12 Square,12X24 Rectangle,18X18 Square,,,,,,,
American Olean,Ascend Stone,AO_Ascend Stone.jpg,M109,Honed,Candid Heather,Candid Heather M109,,12X24 Rectangle,1X6 Chevron,3X8 Rectangle,4X4 Hexagon,,,,,,
American Olean,Ascend Stone,AO_Ascend Stone.jpg,M109,Polished,Candid Heather,Candid Heather M109,,12X24 Rectangle,,,,,,,,,
American Olean,Ascend Stone,AO_Ascend Stone.jpg,M110,Honed,Open Horizon,Open Horizon M110,,12X24 Rectangle,1X2 Leaf,1X6 Chevron,4X4 Hexagon,,,,,,
American Olean,Ascend Stone,AO_Ascend Stone.jpg,M110,Mix,Open Horizon,Open Horizon M110,,9X12 Stacked,,,,,,,,,
American Olean,Bryson Valley,AO_Bryson Valley.jpg,BV10,Matte,Coastal Beachwood,Coastal Beachwood BV10,,8X48 Plank,,,,,,,,,
American Olean,Bryson Valley,AO_Bryson Valley.jpg,BV11,Matte,Whiskey Barrel,Whiskey Barrel BV11,,8X48 Plank,,,,,,,,,
American Olean,Bryson Valley,AO_Bryson Valley.jpg,BV12,Matte,Nantucket Estate,Nantucket Estate BV12,,8X48 Plank,,,,,,,,,
American Olean,Bryson Valley,AO_Bryson Valley.jpg,BV13,Matte,Petrified Forest,Petrified Forest BV13,,8X48 Plank,,,,,,,,,
American Olean,Bryson Valley,AO_Bryson Valley.jpg,BV14,Matte,Truffle Barnwood,Truffle Barnwood BV14,,8X48 Plank,,,,,,,,,
American Olean,Candora,AO_Candora.jpg,DE13,Polished,Vestal Wht Bln,Vestal Wht Bln DE13,,Arabesque,,,,,,,,,
American Olean,Candora,AO_Candora.jpg,DE17,Polished,White & Blu Bln,White & Blu Bln DE17,,Chevron,,,,,,,,,
American Olean,Candora,AO_Candora.jpg,DE18,Polished,White & Gre Bln,White & Gre Bln DE18,,Chevron,,,,,,,,,
American Olean,Candora,AO_Candora.jpg,M046,Mix,Vestal White,Vestal White M046,,Leaf,,,,,,,,,
American Olean,Candora,AO_Candora.jpg,M046,Polished,Vestal White,Vestal White M046,,Linear Hexagon,,,,,,,,,
American Olean,Candora,AO_Candora.jpg,M053,Mix,Demure Gray,Demure Gray M053,,Leaf,,,,,,,,,
American Olean,Candora,AO_Candora.jpg,M053,Polished,Demure Gray,Demure Gray M053,,Linear Hexagon,,,,,,,,,
American Olean,Clarasea,AO_Clarasea.jpg,CL90,Matte,Metropolitan,Metropolitan CL90,,8X8 ,,,,,,,,,
American Olean,Clarasea,AO_Clarasea.jpg,CL91,Matte,Belmont,Belmont CL91,,8X8 ,,,,,,,,,
American Olean,Clarasea,AO_Clarasea.jpg,CL92,Matte,Couture,Couture CL92,,8X8 ,,,,,,,,,
American Olean,Clarasea,AO_Clarasea.jpg,CL93,Matte,Majestic,Majestic CL93,,1.5 Hexagon,3/4 Penny Rounds,,,,,,,,
American Olean,Clay Canvas,AO_Clay Canvas.jpg,CC01,Matte,Chalk,Chalk CC01,,12X24 Rectangle,24X24 Square,,,,,,,,
American Olean,Clay Canvas,AO_Clay Canvas.jpg,CC01,Polished,Chalk,Chalk CC01,,12X24 Rectangle,24X24 Square,,,,,,,,
American Olean,Clay Canvas,AO_Clay Canvas.jpg,CC02,Matte,Paint,Paint CC02,,12X24 Rectangle,24X24 Square,,,,,,,,
American Olean,Clay Canvas,AO_Clay Canvas.jpg,CC02,Polished,Paint,Paint CC02,,12X24 Rectangle,24X24 Square,,,,,,,,
American Olean,Clay Canvas,AO_Clay Canvas.jpg,CC03,Matte,Stencil,Stencil CC03,,12X24 Rectangle,24X24 Square,,,,,,,,
American Olean,Clay Canvas,AO_Clay Canvas.jpg,CC03,Polished,Stencil,Stencil CC03,,12X24 Rectangle,24X24 Square,,,,,,,,
American Olean,Clay Canvas,AO_Clay Canvas.jpg,CC04,Matte,Leads,Leads CC04,,12X24 Rectangle,24X24 Square,,,,,,,,
American Olean,Clay Canvas,AO_Clay Canvas.jpg,CC04,Polished,Leads,Leads CC04,,12X24 Rectangle,24X24 Square,,,,,,,,
American Olean,Clay Canvas,AO_Clay Canvas.jpg,CC05,Matte,Coal,Coal CC05,,12X24 Rectangle,24X24 Square,,,,,,,,
American Olean,Clay Canvas,AO_Clay Canvas.jpg,CC05,Polished,Coal,Coal CC05,,12X24 Rectangle,24X24 Square,,,,,,,,
American Olean,Color Appeal,AO_Color Appeal.jpg,C101,Glass,Pearl,Pearl C101,,1X1 Straight Joint,,,,,,,,,
American Olean,Color Appeal,AO_Color Appeal.jpg,C101,Glossy,Pearl,Pearl C101,,2X8 Rectangle,3X6 Rectangle,4X12 Rectangle,,,,,,,
American Olean,Color Appeal,AO_Color Appeal.jpg,C102,Glossy,Silver Cloud,Silver Cloud C102,,2X8 Rectangle,3X6 Rectangle,4X12 Rectangle,,,,,,,
American Olean,Color Appeal,AO_Color Appeal.jpg,C106,Glass,Moonlight,Moonlight C106,,1X1 Straight Joint,,,,,,,,,
American Olean,Color Appeal,AO_Color Appeal.jpg,C106,Glossy,Moonlight,Moonlight C106,,2X8 Rectangle,3X6 Rectangle,4X12 Rectangle,,,,,,,
American Olean,Color Appeal,AO_Color Appeal.jpg,C107,Glossy,Vintage Mint,Vintage Mint C107,,2X8 Rectangle,3X6 Rectangle,4X12 Rectangle,,,,,,,
American Olean,Color Appeal,AO_Color Appeal.jpg,C108,Glass,Fountain Blue,Fountain Blue C108,,1X1 Straight Joint,,,,,,,,,
American Olean,Color Appeal,AO_Color Appeal.jpg,C108,Glossy,Fountain Blue,Fountain Blue C108,,2X8 Rectangle,3X6 Rectangle,4X12 Rectangle,,,,,,,
American Olean,Color Appeal,AO_Color Appeal.jpg,C109,Glass,Powder,Powder C109,,1X1 Straight Joint,,,,,,,,,
American Olean,Color Appeal,AO_Color Appeal.jpg,C109,Glossy,Powder,Powder C109,,2X8 Rectangle,3X6 Rectangle,4X12 Rectangle,,,,,,,
American Olean,Color Appeal,AO_Color Appeal.jpg,C110,Glass,Dusk,Dusk C110,,1X1 Straight Joint,,,,,,,,,
American Olean,Color Appeal,AO_Color Appeal.jpg,C110,Glossy,Dusk,Dusk C110,,2X8 Rectangle,3X6 Rectangle,4X12 Rectangle,,,,,,,
American Olean,Color Appeal,AO_Color Appeal.jpg,C111,Glossy,Grasshopper,Grasshopper C111,,2X8 Rectangle,3X6 Rectangle,4X12 Rectangle,,,,,,,
American Olean,Color Appeal,AO_Color Appeal.jpg,C117,Glass,Cherry,Cherry C117,,1X1 Straight Joint,,,,,,,,,
American Olean,Color Appeal,AO_Color Appeal.jpg,C117,Glossy,Cherry,Cherry C117,,2X8 Rectangle,3X6 Rectangle,4X12 Rectangle,,,,,,,
American Olean,Color Appeal,AO_Color Appeal.jpg,C118,Glossy,Orchid,Orchid C118,,2X8 Rectangle,3X6 Rectangle,4X12 Rectangle,,,,,,,
American Olean,Color Appeal,AO_Color Appeal.jpg,C119,Glossy,Mink,Mink C119,,2X8 Rectangle,3X6 Rectangle,4X12 Rectangle,,,,,,,
American Olean,Color Appeal,AO_Color Appeal.jpg,C120,Glossy,Cloudburst,Cloudburst C120,,2X8 Rectangle,3X6 Rectangle,4X12 Rectangle,,,,,,,
American Olean,Color Appeal,AO_Color Appeal.jpg,C121,Glossy,Charcoal Gray,Charcoal Gray C121,,2X8 Rectangle,3X6 Rectangle,4X12 Rectangle,,,,,,,
American Olean,Color Appeal,AO_Color Appeal.jpg,C124,Glass,Lime Green,Lime Green C124,,1X1 Straight Joint,,,,,,,,,
American Olean,Color Appeal,AO_Color Appeal.jpg,C125,Glossy,Hawaiian Ocean,Hawaiian Ocean C125,,2X8 Rectangle,3X6 Rectangle,4X12 Rectangle,,,,,,,
American Olean,Color Appeal,AO_Color Appeal.jpg,C128,Glass,Sea Pearl,Sea Pearl C128,,1X1 Straight Joint,,,,,,,,,
American Olean,Color Appeal,AO_Color Appeal.jpg,C130,Glass,Blue Moon,Blue Moon C130,,1X1 Straight Joint,,,,,,,,,
